Latitude,Longitude,xx,Litho
-28.760833,17.730278,wb,wb____
-26.861111,28.884722,ss,ssmxcl
-26.45,28.085833,sc,scshch
-27.671111,27.236944,ss,sssh__
-27.356667,27.286389,ss,sssh__
-27.01011111,26.69808333,va,va__sr
-25.127778,27.628889,sc,scshch
-25.20639,27.558,ss,ssmxmt
-24.69514,27.40906,pb,pb____
-26.98472222,26.63227778,va,va__sr
-28.141944,26.417778,ss,sssh__
-27.398611,26.614722,ss,ssmxcl
-33.501667,21.624167,ss,ssssmt
-32.502778,19.535833,ss,ssmxmt
-25.45963889,28.26430556,pa,pa____
-27.495556,26.074722,ss,ssmxcl
-26.648056,27.089444,ss,ssmxmt
-26.970278,27.211111,ss,ssmxmt
-27.38972222,26.46388889,ss,ssmxcl
-27.044444,27.005,vb,vb____
-30.830556,26.921389,ss,ssmxcl
-27.00222,28.76528,ss,sssh__
-27.02314,28.59389,ss,ssmxcl
-30.679722,26.7125,ss,ssmx__
-30.160091,27.40124,ss,ssmxcl
-32.595833,19.009444,ss,ssmx__
-25.99136,27.84208,pa,pa__mt
-26.73806,27.59194,sc,scshch
-30.86013889,29.07125,ss,sssh__
-25.73411,27.21422,ss,ssshmt
-29.160278,26.573333,ss,sssh__
-34.250556,20.9925,ss,ssmx__
-25.81048333,27.90955222,sc,scshch
-27.273889,28.49,ss,sssh__
-27.4275,28.525833,ss,sssh__
-28.883333,27.89,ss,ssmxcl
-30.534167,24.961944,ss,sssh__
-28.460833,21.248889,wb,wb____
-29.658056,25.973333,ss,sssh__
-25.513889,31.224444,pa,pa____
-31.554722,29.245556,ss,ssmxcl
-28.058889,30.373611,ss,ssmxcl
-25.681111,31.783333,pi,pi____
-27.802778,28.768333,vb,vb____
-31.104278,29.399722,ss,ssmxcl
-31.396,29.2651,ss,ssmxcl
-33.38056,19.30167,ss,ssssmt
-33.31388889,19.07472222,ss,ssssmt
-24.39619444,27.08983333,pa,pa__mt
-26.880278,26.965,vb,vb____
-27.3,28.586944,vb,vb____
-30.568333,29.422778,ss,sssh__
-30.570833,29.150556,vb,vb____
-34.031944,22.053333,ss,ssmx__
-33.13083,18.86278,sm,smshmt
-33.7075,18.97444444,sm,smshmt
-25.57877778,29.12747222,ss,ssss__
-26.006389,29.253889,ss,ssmxcl
-30.77586667,29.03221667,ss,sssh__
-24.925278,29.324444,sc,scshch
-24.679167,30.8025,sc,scshch
-25.49037,30.6986,pa,pa__mt
-33.818056,19.694722,ss,ssmx__
-33.897778,20.012778,ss,ssmx__
-34.065833,20.404167,ss,ssmx__
-24.058889,31.237222,mt,mt____
-34.092222,21.295278,ss,ssmxmt
-27.363611,31.783333,ss,ssmxcl
-34.329722,18.990278,ss,ssssmt
-23.281,30.54305556,mt,mt____
-28.801278,31.955389,su,supu__
-29.140556,31.391944,ss,ssmx__
-27.169444,29.233889,ss,sssh__
-27.573056,24.746389,ss,ssmx__
-28.69485,28.23487,ss,ssmxcl
-34.039722,22.133333,ss,ssmx__
-28.068333,31.55,ss,ssmxcl
-29.7775,29.470833,ss,ssmx__
-29.987778,29.851667,ss,sssh__
-29.744167,29.905833,ss,sssh__
-25.436111,31.982222,va,vapy__
-25.67386,31.57527,pi,pi____
-30.733889,29.828333,ss,ssmx__
-30.398056,30.601944,mt,mt____
-22.43772222,31.07805556,ss,ssmx__
-29.803611,30.516111,ss,ssmx__
-29.641944,30.6875,pa,pa____
-33.980556,21.653333,ss,ssmx__
-22.769722,30.886944,ss,sspyvr
-23.763056,27.908611,ss,ssss__
-23.23572222,27.717,mt,mtam__
-28.44555556,32.325,su,supu__
-30.336111,27.359444,ss,ssmxcl
-22.91028,29.61111,ss,ssmxcl
-24.183889,30.823889,mt,mt____
-23.658056,31.05,mt,mt____
-22.225556,29.990556,mt,mt____
-26.03611,30.99778,vb,vbpy__
-28.404444,30.013056,ss,ssmxcl
-29.380556,30.2775,ss,sssh__
-31.031389,28.883333,ss,ssmx__
-28.747778,31.745833,ss,ssmxcl
-24.282222,28.090278,ss,ssmx__
-30.27402,30.69602,ss,ssmx__
